,ID,Name,Linked_OTUs,Named_linked_OTUs,Average presence in 0,Average presence in 1,Representative_group,Average presence (total),Average_importance
21,GO:0018729,propionate CoA-transferase activity,,,0.48531835294117637,0.2994724,0,0.4430806363636364,0.010063204464930756
343,GO:0005992,trehalose biosynthetic process,,,14.334038588235291,8.7665068,0,13.068690454545452,0.00928976330135715
994,GO:0009346,ATP-independent citrate lyase complex,,,0.9290943529411764,1.6010631999999998,1,1.0818145454545454,0.008551063230079318
1023,GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",,,19.203970588235293,28.1909492,1,21.246465727272717,0.008189799760064526
1171,GO:0008788,"alpha,alpha-phosphotrehalase activity",,,0.10804223529411763,0.4377747999999999,1,0.18298145454545456,0.007540683866677769
1430,GO:0006144,purine nucleobase metabolic process,,,0.7849988235294116,3.1069392,1,1.3127125454545456,0.007496283899182055
1451,GO:0042121,alginic acid biosynthetic process,,,61.89329211764706,46.02190159999999,0,58.2861579090909,0.0072994648858468875
1506,GO:0047896,formaldehyde transketolase activity,,,0.9367784705882353,0.48058200000000006,0,0.8330974545454545,0.00717668329141667
2149,GO:0008707,4-phytase activity,,,1.325224470588235,0.4096496,0,1.1171392727272724,0.006798794525380282
2184,GO:0071702,Not Found,,,35.1647111764706,49.409777199999986,1,38.402226181818186,0.00659905837174443
2571,GO:0102545,phosphatidyl phospholipase B activity,,,0.04988058823529412,0.5633539999999999,1,0.16657909090909093,0.006390034881287939
2979,GO:0047324,phosphoenolpyruvate-glycerone phosphotransferase activity,,,0.5204484705882355,1.123254,1,0.6574497272727274,0.006242095052231387
3016,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,,,51.54535011764707,66.75806200000001,1,55.00278463636367,0.006060777770541525
3059,GO:0000272,polysaccharide catabolic process,,,97.5272491764706,70.35435000000001,0,91.3515902727273,0.005920758854303576
3198,GO:0004122,cystathionine beta-synthase activity,,,0.07543635294117647,0.55811,1,0.1851349090909091,0.005888190577023845
3303,GO:0046938,phytochelatin biosynthetic process,,,0.4075367058823531,0.2276004,0,0.36664209090909083,0.005678093884901382
3383,GO:0015667,site-specific DNA-methyltransferase (cytosine-N4-specific) activity,,,6.517277999999998,1.966706,0,5.4830570909090905,0.0056569312745999014
3495,GO:0008744,L-xylulokinase activity,,,0.049278352941176475,0.37000159999999993,1,0.12217,0.0052953302378668295
3609,GO:0052861,"glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group",,,0.5303137647058825,0.2011476,0,0.45550327272727276,0.005128965295373062
3729,GO:0017065,single-strand selective uracil DNA N-glycosylase activity,,,1.3254490588235293,0.4096496,0,1.117312818181818,0.004999064147077565
3746,GO:0043130,ubiquitin binding,,,2.7050276470588233,0.850828,0,2.2836186363636366,0.004892737203874233
3828,GO:0009443,pyridoxal 5'-phosphate salvage,,,47.16448670588233,40.43092000000001,0,45.634130636363615,0.00483044785843657
4084,GO:0006568,tryptophan metabolic process,,,0.17579541176470584,0.0665152,0,0.15095899999999995,0.004815175990447635
4191,GO:0009409,response to cold,,,0.15403647058823522,0.22758599999999998,1,0.17075227272727264,0.004748055557581628
4262,GO:0008808,cardiolipin synthase activity,,,66.59339988235294,56.69740960000001,0,64.34431118181817,0.004715540960976197
4602,GO:0016868,intramolecular phosphotransferase activity,,,53.204898705882336,43.232678400000005,0,50.93848499999999,0.004702763860911147
4757,GO:0008815,citrate (pro-3S)-lyase activity,,,1.0011662352941173,1.8541276,1,1.1950210909090908,0.004702476071499771
4765,GO:0003859,Not Found,,,4.545126941176469,0.8116712000000001,0,3.6966142727272717,0.004509254701135532
4907,GO:0016977,chitosanase activity,,,1.325224470588235,0.4096496,0,1.1171392727272724,0.004451947597766626
4977,GO:0008610,lipid biosynthetic process,,,2.2648691764705893,4.4801492000000005,1,2.7683419090909096,0.0044086200495359554
5147,GO:0005727,extrachromosomal circular DNA,,,0.2570544705882353,0.4611636,1,0.3034429090909091,0.004354629041791996
5226,GO:0047395,glycerophosphoinositol glycerophosphodiesterase activity,,,0.03223694117647059,0.3536996,1,0.10529663636363637,0.004300590202345961
5326,GO:0005509,calcium ion binding,,,91.7985743529412,73.3576876,0,87.60746372727274,0.004255834728913487
5360,GO:0006522,alanine metabolic process,,,0.07803517647058825,0.41500279999999995,1,0.15461872727272727,0.004188549684560398
5545,GO:0050182,phosphate butyryltransferase activity,,,8.480541529411763,3.4005812000000004,0,7.326005090909089,0.004149714313854999
5572,GO:0004805,trehalose-phosphatase activity,,,14.282578117647063,8.7449412,0,13.024024272727278,0.004136751548030944
5797,GO:2001070,starch binding,,,52.88013035294118,43.07538879999999,0,50.65178,0.004096777849124019
5912,GO:0032049,cardiolipin biosynthetic process,,,66.81028858823527,56.8575576,0,64.54830427272725,0.00405286750338082
6388,GO:0050580,"2,5-didehydrogluconate reductase activity",,,0.7817536470588238,3.1215248000000004,1,1.3135198181818173,0.0040341517298512295
6517,GO:0015444,P-type magnesium transporter activity,,,2.497189647058823,6.8199436,1,3.479633727272728,0.003995161489536594
6934,GO:0019677,NAD catabolic process,,,20.923555647058826,12.807013999999999,0,19.078887090909095,0.003985164439056363
7176,GO:0070290,N-acylphosphatidylethanolamine-specific phospholipase D activity,,,11.70797788235294,8.287962,0,10.930701545454541,0.003979095579538977
7441,GO:0008453,alanine-glyoxylate transaminase activity,,,1.3286697647058818,0.41244280000000005,0,1.120436363636363,0.0036636814333061256
